site,flux,flux_y0,flux_y1,soil,soil_y0,soil_y1,lat,lon,igbp,n_halfhour,has_soil,grid_idx,grid_dist_km
AR-Bal,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AR-Bal_2012-2013_FLUXNET2015_Flux.nc,2012,2013,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AR-Bal_2012-2013.nc,2012.0,2013.0,-37.75960159301758,-58.302398681640625,CRO,35088,True,435848,5.116446733779745
AR-CCa,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AR-CCa_2013-2020_FLUXNET2015_Flux.nc,2013,2020,,,,-35.62099838256836,-61.31809997558594,CRO,140256,False,427199,7.976830682162772
AR-CCg,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AR-CCg_2018-2024_FLUXNET2015_Flux.nc,2018,2024,,,,-35.924400329589844,-61.18550109863281,GRA,122736,False,428279,16.864620536438554
AR-TF1,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AR-TF1_2017-2017_FLUXNET2015_Flux.nc,2017,2017,,,,-54.97330093383789,-66.7334976196289,WET,17520,False,491917,11.478479804257844
AR-TF2,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AR-TF2_2017-2017_FLUXNET2015_Flux.nc,2017,2017,,,,-54.826900482177734,-68.45490264892578,WET,17520,False,491913,12.783335479941039
AT-Mmg,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AT-Mmg_2022-2024_FLUXNET2015_Flux.nc,2022,2024,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AT-Mmg_2021-2024.nc,2021.0,2024.0,47.31656265258789,10.970088958740234,ENF,52608,True,72776,13.46329291756555
AT-Neu,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AT-Neu_2002-2019_FLUXNET2015_Flux.nc,2002,2019,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AT-Neu_2002-2020.nc,2002.0,2020.0,47.116668701171875,11.317500114440918,GRA,315552,True,73677,10.156304118117164
AT-Nsd,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AT-Nsd_2019-2022_FLUXNET2015_Flux.nc,2019,2022,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AT-Nsd_2018-2022.nc,2018.0,2022.0,47.76913833618164,16.75849151611328,WET,70128,True,71891,15.274558937636998
AT-PsM,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AT-PsM_2016-2019_FLUXNET2015_Flux.nc,2016,2019,/perm/pad/fluxnet-shuttle-ecland/soil/shuttle-all775-era5/soil_AT-PsM_2015-2019.nc,2015.0,2019.0,47.581451416015625,14.347196578979492,WET,70128,True,71885,7.116927762893535
AT-Zoe,/perm/pad/fluxnet-shuttle-ecland/flux/shuttle-all775-era5/AT-Zoe_2015-2023_FLUXNET2015_Flux.nc,2015,2023,,,,47.842247009277344,14.444136619567871,MF,157776,False,70985,8.803002394592005
